0, 1
1, 4
2, 8
3, 16
4, 24
5, 35
6, 47
7, 58
8, 74
9, 90
10, 111
11, 130
12, 151
13, 176
14, 199
15, 228
16, 252
17, 287
18, 314
19, 354
20, 390
21, 412
22, 462
23, 489
24, 550
25, 580
26, 645
27, 684
28, 740
29, 786
30, 842
31, 888
32, 945
33, 1005
34, 1071
35, 1130
36, 1193
37, 1247
38, 1322
39, 1379
40, 1456
41, 1518
42, 1603
43, 1669
44, 1760
45, 1823
46, 1923
47, 1991
48, 2090
49, 2160
50, 2257
51, 2327
52, 2431
53, 2498
54, 2611
55, 2677
56, 2804
57, 2864
58, 3003
59, 3064
60, 3202
61, 3275
62, 3444
63, 3545
64, 3722
65, 3814
66, 3988
67, 4082
68, 4260
69, 4324
70, 4491
71, 4560
72, 4747
73, 4816
74, 5010
75, 5077
76, 5275
77, 5348
78, 5545
79, 5621
80, 5827
81, 5894
82, 6115
83, 6182
84, 6411
85, 6480
86, 6710
87, 6798
88, 7018
89, 7110
90, 7330
91, 7438
92, 7643
93, 7755
94, 7963
95, 8101
96, 8297
97, 8455
98, 8652
99, 8794
100, 8992
101, 9144
102, 9339
103, 9490
104, 9697
105, 9849
106, 10060
107, 10209
108, 10448
109, 10590
110, 10831
111, 10972
112, 11223
113, 11375
114, 11612
115, 11766
116, 11996
117, 12166
118, 12401
119, 12588
120, 12821
121, 13020
122, 13247
123, 13454
124, 13687
125, 13886
126, 14117
127, 14332
128, 14558
129, 14778
130, 15012
131, 15234
132, 15468
133, 15703
134, 15943
135, 16185
136, 16405
137, 16664
138, 16884
139, 17141
140, 17368
141, 17652
142, 17872
143, 18145
144, 18369
145, 18653
146, 18867
147, 19146
148, 19362
149, 19667
150, 19892
151, 20210
152, 20396
153, 20729
154, 20931
155, 21274
156, 21484
157, 21830
158, 22058
159, 22366
160, 22600
161, 22916
162, 23154
163, 23471
164, 23742
165, 24068
166, 24329
167, 24658
168, 24887
169, 25240
170, 25462
171, 25829
172, 26049
173, 26439
174, 26660
175, 27070
176, 27269
177, 27695
178, 27897
179, 28314
180, 28523
181, 28932
182, 29138
183, 29544
184, 29752
185, 30171
186, 30373
187, 30828
188, 31013
189, 31480
190, 31675
191, 32127
192, 32330
193, 32844
194, 33139
195, 33676
196, 33952
197, 34470
198, 34744
199, 35266
200, 35476
201, 35947
202, 36139
203, 36652
204, 36848
205, 37371
206, 37566
207, 38087
208, 38298
209, 38799
210, 39019
211, 39530
212, 39730
213, 40270
214, 40475
215, 41035
216, 41239
217, 41786
218, 42029
219, 42553
220, 42801
221, 43316
222, 43592
223, 44077
224, 44356
225, 44836
226, 45170
227, 45626
228, 46004
229, 46459
230, 46792
231, 47241
232, 47593
233, 48037
234, 48376
235, 48852
236, 49189
237, 49670
238, 49995
